#      time         order        tairmean     top       
 2.7777777778E-09   1.0000       21.000       21.075    
 9.9685314460E-02   1.0000       21.001       21.075    
 0.1993706261       1.0000       21.000       21.074    
 0.1993706289       1.0000       21.000       21.074    
 0.2791188783       1.0000       21.000       21.074    
 0.3588671276       1.0000       21.000       21.074    
 0.5183636263       1.0000       21.000       21.074    
 0.8373566237       1.0000       21.000       21.073    
  1.475342618       1.0000       21.000       21.072    
  2.751314608       1.0000       21.000       21.070    
  4.251314608       1.0000       21.000       21.069    
  5.751314608       1.0000       21.000       21.067    
  7.251314608       1.0000       21.000       21.065    
  8.751314608       1.0000       21.000       21.064    
  10.25131461       1.0000       21.000       21.064    
  11.75131461       1.0000       21.000       21.065    
  13.25131461       1.0000       21.000       21.067    
  14.75131461       1.0000       21.000       21.070    
  16.25131461       1.0000       21.000       21.072    
  17.75131461       1.0000       21.000       21.075    
  19.25131461       1.0000       21.000       21.078    
  20.75131461       1.0000       21.000       21.081    
  22.25131461       1.0000       21.000       21.083    
  23.75131461       1.0000       21.000       21.084    
  23.98178839       1.0000       21.000       21.084    
  23.98178839       1.0000       21.000       21.084    
  26.02334358       1.0000       21.000       21.086    
  27.52334358       1.0000       21.000       21.086    
  29.02334358       1.0000       21.000       21.086    
  30.52334358       1.0000       21.000       21.087    
  32.02334358       1.0000       21.000       21.087    
  33.52334358       1.0000       21.000       21.087    
  35.02334358       1.0000       21.000       21.088    
  36.52334358       1.0000       21.000       21.090    
  38.02334358       1.0000       21.000       21.093    
  39.52334358       1.0000       21.000       21.093    
  41.02334358       1.0000       21.000       21.094    
  42.52334358       1.0000       21.000       21.095    
  44.02334358       1.0000       21.000       21.095    
  45.52334358       1.0000       21.000       21.095    
  47.02334358       1.0000       21.000       21.094    
  47.99019432       1.0000       21.000       21.093    
  47.99019432       1.0000       21.000       21.093    
  50.39019432       1.0000       21.000       21.089    
  51.89019432       1.0000       21.000       21.086    
  53.39019432       1.0000       21.000       21.082    
  54.89019432       1.0000       21.000       21.078    
  56.39019432       1.0000       21.000       21.073    
  57.89019432       1.0000       21.000       21.068    
  59.39019432       1.0000       21.000       21.065    
  60.89019432       1.0000       21.000       21.061    
